"id","question","right-answer","wrong-answer-1","wrong-answer-2","wrong-answer-3","kategorie","proposer","gemolden","reason","propose_date","proposer_time"
"404","Beste Schriftart?","Comic Sans","Calibri","Arial","Helvetica","cool","22","0","none","2021-11-21","20:14:22"
"405","Heissester Lehrer der HKV?","Christian Sebök","Antonio Anta Brink","Kaspar Iff","Margrit Nägeli","cool","22","0","none","2021-11-21","20:14:22"
"406","Welches Lebensmittel kann auch als Conditioner benutzt werden?","Apfelessig","Olivenöl","Nutella","Zitronensaft","essen","26","0","none","2021-11-21","20:14:22"
"407","Wie heisst der autistische Arzt in der Serie ""The Good Doctor""?","Shaun Murphy","Ralph Odd","Simon Niclas","Tom Holland","filme","26","0","none","2021-11-21","20:14:22"
"408","Was sollten Hunde nicht essen?","Schokolade","Gurke","Hühnchen","Wassermelone","essen","26","0","none","2021-11-21","20:14:22"
"409","Welche Fähigkeit hat eine Katze nicht?","Lange tauchen","Im Dunkeln sehen","Krallen ein und ausfahren","Durch sehr schmale Öffnungen gelangen","tiere","26","0","none","2021-11-21","20:14:22"
"410","Welches der folgenden Tiere ist kein Insekt?","Spinne","Mücke","Fliege","Ameise","tiere","26","0","none","2021-11-21","20:14:22"
"411","Auf welchem Planeten ist die Wahrscheinlichkeit sehr hoch, dass es Diamanten regnet?","Neptun","Jupiter","Saturn","Merkur","wissenschaft","26","0","none","2021-11-21","20:14:22"
"412","Welche Farbe löst die Emotion der Freiheit aus?","Grün","Violett","Gelb","Rot","kunst","26","0","none","2021-11-21","20:14:22"
"413","Wie viele Planeten befinden sich in unserem Sonnensystem?","Acht","Zehn","Sieben","Neun","wissenschaft","26","0","none","2021-11-21","20:14:22"
"414","Von welcher Firma wurden die Apps Instagram und Whatsapp aufgekauft?","Meta","Facebook","Opera","Google","technik","26","0","none","2021-11-21","20:14:22"
"415","Welche Krankheit ruft eine Übermenge an Zucker hervor?","Diabetes","Lungenembolie","Blutkörper-Etropose","Lymphknotenschwellung","sonstige","26","0","none","2021-11-21","20:14:22"
"416","Wo ist die Briefmarke auf einem Brief?","Rechts oben","rechts unten","links oben","links unten","sonstige","39","0","none","2021-11-21","20:14:22"
"417","Wo im Körper befindet sich der kleinste Knochen des Menschen?","Im Ohr","Im kleinen Zeh","Hinter dem Nasenknorpel","Im Daumen","wissenschaft","26","0","none","2021-11-21","20:14:22"
"418","Von welchem Videospiel stammt der Charakter Nathan Drake?","Uncharted","Overwatch","Beyond Two Souls","CSGo","technik","26","0","none","2021-11-21","20:14:22"
"419","Welches Ereignis führte zu einer der grössten Erkenntniss der Wissenschaft?","Ein Apfel der vom Baum viel.","Ein Schiff, welches einen Wasserfall herunterstürzte","Eine Ameise, welche in einem Wassertropfen ertrank","Ein Vogel, der über dem Kopf von Albert Einstein kreiste","wissenschaft","26","0","none","2021-11-21","20:14:22"
"420","Welches Tier kann seine Augen um 180° drehen, um es im Kampf zu schützen?","Hai","Giraffe","Löwe","Strauss","tiere","26","0","none","2021-11-21","20:15:16"
"421","Welches der folgenden Lebensmittel enthält am meisten Zucker?","Ketchup","Cola","Orangensaft","Ice Tea","essen","26","0","none","2021-11-21","20:17:36"
"422","Welches der Papierformate ist am grössten?","A3","A4","A6","A8","sonstige","26","0","none","2021-11-21","20:18:25"
"423","Welches Tier lebt am längsten?","Schildkröte","Krokodil","Siamesische Katze","Braunbär","tiere","26","0","none","2021-11-21","20:20:44"
"424","Wo leben Pinguine?","Antarktis","Am Äquator","Am Nordpool","Niederlande","geographie","26","0","none","2021-11-21","20:23:04"
"425","Auf welchem Kontinent liegt Australien?","Australien ist ein Kontinent","Afrika","Südamerika","Neuseeland","geographie","26","0","none","2021-11-21","20:24:19"
"426","In welchem Land befindet sich der grösste Staudamm der Welt?","China","Russland","United States","Türkei","geographie","26","0","none","2021-11-21","20:25:35"
"427","Aus was besteht die Mine eines Bleistifts?","Graphit und Ton","Blei","Titan","Kohle","wissenschaft","26","0","none","2021-11-21","20:26:50"
"428","Welchen Teil einer Pflanze sollte man nicht essen?","Den Stiel eines Löwenzahns","Das Herz eines Farns","Einen Neuen Zweig einer Tanne","Eine Kleeblüte","wissenschaft","26","0","none","2021-11-21","20:47:41"
"429","Wo befindet sich der Blinddarm?","Im rechten, unteren Teil des Bauches","Kurz nach dem Magen","Zwischen den Lungenflügeln","Wo sich Dick und Dünndarm kreuzen","wissenschaft","26","0","none","2021-11-21","20:49:24"
"430","Was kann bei einem Schlaganfall passieren?","Einseitige Lähmung des Körpers","Augenzucken","Unkontrollierbares Fusszucken","Absterben der Zehen","wissenschaft","26","0","none","2021-11-21","20:50:39"
"431","Was ist Photosynthese?","Erzeugung von Energie durch Licht","Eine Methode um dunkle Photos zu schiessen","Die Bearbeitung eines Portraitphotos","Die Geburt eines Kuhbabies","wissenschaft","26","0","none","2021-11-21","20:55:01"
"432","Welche Vorliebe hat eine Elster?","Metall klauen","Brot essen","Kurze Abkühlungen in Bächen","Mandeln","tiere","26","0","none","2021-11-21","20:56:33"
"433","Was ist die Durchschnitssgrösse bei Frauen in der Schweiz?","166cm","162cm","160mm","160cm","wissenschaft","39","0","none","2021-11-21","21:08:07"
"434","Was ist die Durchschnittskörpergrösse eines Mannes in der Schweiz?","178cm","180cm","160cm","180mm","wissenschaft","39","1","none","2021-11-21","21:09:06"
"435","Wie hoch ist der grösste Baum der Welt?","84m","101m","63m","324m","sonstige","39","0","none","2021-11-21","21:11:29"
"436","Wie gross ist die Erde?","696’340 km","523’340 km","334’340 km","932’340 km","wissenschaft","39","0","none","2021-11-21","21:13:00"
"437","Wie gross ist die Erde?","6’371 km","8’371 km","69’371 km","9’371 km","wissenschaft","39","1","none","2021-11-21","21:13:58"
"438","Wie gross ist der Mond?","1’737.4 km","2’737.4 km","10’737.4 km","5’737.4 km","wissenschaft","39","0","none","2021-11-21","21:14:34"
"439","Wie gross ist die Schweiz?","41’285 km²","201’285 km²","1’285 km²","20’285 km²","geographie","39","0","none","2021-11-21","21:16:34"
"440","Wie gross ist Deutschland?","357’386 km²","322’386 km²","438’386 km²","214’386 km²","geographie","39","0","none","2021-11-21","21:18:16"
"441","Was ist grösser?","1ha","1a","1km","1cm","technik","39","0","none","2021-11-21","21:19:46"
"442","Wem wird niemals freiwillig angerufen?","Janis","Bianca","Natalie","Max","cool","24","0","none","2021-11-21","21:21:53"
"443","Was ist grösser?","Ananas","Apfel","Traube","Orange","essen","39","0","none","2021-11-21","21:21:58"
"444","Wer ist schöner Brad Pitt oder Johnny Depp?","Johnny Depp","Brett Pitt","Alles was die andere Meinung von Natalie","nicht Johnny er ist ein Depp","cool","24","0","none","2021-11-21","21:23:45"
"445","Wie viele Punkte kriegt man für eine Frage?","100","200","50","5","cool","39","0","none","2021-11-21","21:23:58"
"446","Wer ist Papi?","Ist ein Geheimnis","Ja ein Vater natürlich","ein Samenspender","keine Ahnung frag natalie","cool","24","0","none","2021-11-21","21:25:41"
"447","Was gibt es nicht in der Google-Leiste?","Figuren","Alle","Shopping","Mehr","sonstige","39","0","none","2021-11-21","21:25:47"
"448","Wann kommt der Samichlaus?","Am 6. Dezember","An Weihnachten","An Silvester","Am dritten Advent","kultur","26","0","none","2021-11-21","21:25:50"
"449","An was fehlt es einigen Schülern der Med 21/25?","Humor","Fachkompetenz","Anstand","Allgemeinwissen","cool","22","0","none","2021-11-21","21:26:51"
"450","Welches Lebensmittelart steht in der Ernährungspyramide ganz Unten ?","Getränke","Fleisch und Fisch","Gemüse","Snacks","essen","26","0","none","2021-11-21","21:27:47"
"451","Welches Wort gibt es nicht?","Überwasserdehydration","Joghurtdrink","Finanzdienstleistungsunternehmen","Veranstaltungsinformationsdienst","sonstige","39","1","none","2021-11-21","21:27:48"
"452","Wer ist am nervigsten im Unterricht?","Janis","Bianca","Natalie","Bianca und Natalie","cool","24","0","none","2021-11-21","21:28:11"
"453","Welche Buchreihe gibt es nicht?","Wasserhaut","Harry Potter","Die Tribute von Panem","Eisenwolf","filme","39","0","none","2021-11-21","21:29:16"
"454","Was sagt man wenn einem einen Hallo sagt?","Nein danke (schüttelt die Hand höflich)","Grüezi","Hoi gahsch au ham","Tschau","cool","24","0","none","2021-11-21","21:30:22"
"455","Aus welchem Land kommt Pizza?","Italien","Frankreich","Spanien","Deutschland","essen","26","0","none","2021-11-21","21:30:34"
"456","Welche Kerzenmarke gibt es?","Yankee Candle","Wanhau Candle","Rose Candle","Feldimau Candle","sonstige","39","0","none","2021-11-21","21:30:54"
"457","Aus welchem Land kommt Baguette?","Frankreich","Italien","Österreich","Schweiz","essen","26","0","none","2021-11-21","21:31:01"
"458","Was ist ein Berufsbildner?","Ein Freund","Ein Professor","Ein Chef","Jemand aus der Buchhaltung","cool","22","0","none","2021-11-21","21:32:29"
"459","Welche Kaugummimarke gibt es nicht?","V8","Stimorol","Wubba Bubba","Orbit","sonstige","39","0","none","2021-11-21","21:32:30"
"460","Wie hoch ist der Kalorienbedarf eines Erwachsenen?","2400 Kalorien","4000 Kalorien","1000 Kalorien","250 Kalorien","essen","26","0","none","2021-11-21","21:33:01"
"461","Woran erkennt man seine heimlichen Verehrer?","Kaputte Schuhe","Einer Erektion","Roter Pulli","Mundgeruch","cool","22","0","none","2021-11-21","21:35:23"
"462","Welche Firma gibt es nicht?","Wubblefire","Digital Republic","Carand'ache","Coop","sonstige","39","0","none","2021-11-21","21:35:28"
"463","Was steckt in Kaffee?","Koffein","Teein","Colain","Kokain","essen","26","0","none","2021-11-21","21:36:05"
"464","Wie alt kann ein Pazifischer Nordkaper werden?","70 Jahre","200 Jahre","300 Jahre","1000 Jahre","tiere","39","0","none","2021-11-21","21:36:26"
"465","Wie alt wird ein Tiger?","8-10 Jahre","10-12 Jahre","12-14 Jahre","2-3 Jahre","tiere","39","0","none","2021-11-21","21:37:25"
"466","Welche Affenart kommt einem Menschen am nächsten?","Schimpanse","Orang Utan","Gorilla","Homo","tiere","26","0","none","2021-11-21","21:38:03"
"467","Wie alt wird ein Löwe?","10-15 Jahre","8-14 Jahre","13-18 Jahre","2-3 Jahre","tiere","39","0","none","2021-11-21","21:38:10"
"468","Wie alt wird ein Leopard?","12-17 Jahre","15-17 Jahre","20-22 Jahre","14-15 Jahre","tiere","39","0","none","2021-11-21","21:39:06"
"469","Welche Insektenart hat keine Königin?","Mücken","Bienen","Ameisen","Wespen","tiere","26","0","none","2021-11-21","21:39:11"
"470","Wer ist böse?","Maximator","Sister M","MAxims moral","Maxim","cool","24","0","none","2021-11-21","21:39:43"
"471","Wie alt wird eine Hauskatze?","2-16 Jahre","bis sie stirbt","12-18 Jahre","5-20 Jahre","tiere","39","0","none","2021-11-21","21:39:57"
"472","Wie alt wird eine Erdkröte?","10-12 Jahre","5-7 Monate","3-4 Monate","4-8 Jahre","tiere","39","0","none","2021-11-21","21:40:49"
"473","asd?","jhkl","lk","klljk","kjlk","kultur","45","0","none","2021-11-21","21:42:24"
"474","Welches Lebensmittel ist kein Lebewesen?","Malzena","Pilz","Backhefe","Schaf","essen","26","0","none","2021-11-21","21:42:50"
"475","Was ist der grösste Berg?","Natalies Berg von Problemen","Mount Everest","Degu Scheisshaufen","Alle Antworten sind gleich","cool","24","0","none","2021-11-21","21:43:05"
"476","Wie groß ist die größte Schlangenart?","9 m","5 m","13 m","22 m","tiere","39","0","none","2021-11-21","21:43:08"
"477","Wie alt wird ein Dingo?","13-15 Jahre","15-19 Jahre","12-14 Jahre","3-5 Jahre","tiere","39","0","none","2021-11-21","21:44:35"
"478","Welchen Vogel gibt es nicht?","Feuervogel","Emu","Kolibri","Eisvogel","tiere","26","0","none","2021-11-21","21:44:50"
"479","Was stinkt mehr?","Fructuoso","Scheisse","Furz","Kotze","cool","24","1","none","2021-11-21","21:45:47"
"480","Wer schrieb das Buch Erebos?","U. Poznanski","U. Poznansky","V. Poznonski","U. Poznonsky","filme","39","0","none","2021-11-21","21:46:11"
"481","Was war gelb und ist nun Weiss?","Huhn","Ei","Wasser","Jogurt","sonstige","39","0","none","2021-11-21","21:47:16"
"482","Welche Farben hat ein Jonglierball?","grün blau gelb rot","blau gelb rot violett","gelb rot schwarz weiss","rot blau schwarz weiss","sport","39","0","none","2021-11-21","21:48:50"
"483","Welche farbe hat ein basketball?","orange","blau","orange mit leichtem rotstrich","orange mit leichtem gelbstrich","sport","39","0","none","2021-11-21","21:49:36"
"484","Alli mini entli...?","...haben meine hausaufgaben gegessen","...schwimmen auf dem see","...köpfchen in das Wasser","...schwäntzchen in die höh","cool","24","0","none","2021-11-21","21:49:51"
"485","Welche Farben hat ein Fussball?","schwarz weiss","grau blau","grau schwarz","dreckig","sport","39","0","none","2021-11-21","21:50:13"
"486","Wie alt ist Natalie?","11 ","15","14","16","cool","39","0","none","2021-11-21","21:51:26"
"487","Wie viel wiegt einer Tiger?","Locker ne Tonne","Drei Bären","Zwei Melonen","Tick Trick und Track","cool","26","1","none","2021-11-21","21:51:57"
"488","Wer ist vergleichbar mit picasso?","leonardo di caprio","Emil nägeli","auf keinen Fall natalie","picasso ist unvergleichbar one and only","cool","24","0","none","2021-11-21","21:52:31"
"489","Welche Farbe hat Quuli?","blau","grün","gelb","rot","sonstige","39","0","none","2021-11-21","21:52:39"
"490","Welches ist das teuerste Bild der Welt?","Salvator Mundi","Mona Lisa","Wassermond","Rotgelbes Wunder","kunst","39","0","none","2021-11-21","21:54:00"
"491","Wieso sitzt man im MC draussen?","Man ist nicht geimpft","Man hat Hausverbot","Man will noch ein bitzli die frische Luft geniessem","Man findet die Stühle draussen einfach gmüätlich","cool","22","0","none","2021-11-21","21:54:44"
"492","Welches Bild wurde nicht von Da Vinci gemalt?","Sternennacht","Salvator Mundi","Mona Lisa","Das Abendmal","kunst","39","0","none","2021-11-21","21:55:06"
"493","Was hat Van Gogh getan?","sein Ohr abgeschnitten","Menschen ermordet","Tiere quälen","das Internet erfunden","kunst","39","0","none","2021-11-21","21:56:51"
"494","Wer kann hacken?","ein hacker","bianca","bianca","acnaib","cool","24","0","none","2021-11-21","21:58:35"
"495","Was sollte man in der in der Familie nicht tun?","Es zu sehr treiben","Sich schlagen","Gemeinsam frühstücken","Quuli spielen","cool","22","0","none","2021-11-21","21:58:49"
"496","Wie alt war Van Gogh als er starb?","37","22","57","72","kunst","39","1","none","2021-11-21","21:59:15"
"497","Wann lebte Van Gogh?","1853 -1890","1857 -1893","1822 -1834","1821 -1856","kunst","39","0","none","2021-11-21","22:00:18"
"498","Wann starb Van Gogh?","29. Juli 1890","30. August 1898","22. Mai 1894","18. September 1891","kunst","39","0","none","2021-11-21","22:01:20"
"499","Bitte füllen Sie hier eine Frage ein?","gehen Sie jetzt sterben","Beantworten Sie die Frage","Tippen Sie antworten rein","tippen sie NUR eine Antwort ein","cool","24","0","none","2021-11-21","22:01:29"
"500","Wer stirbt als erstes?","Wahrscheinlich bianca tbh","probably bianca","Maxim würde niemals sterben wegen seiner krassen vergangenheit","100% Maxim","cool","24","0","none","2021-11-21","22:03:27"
"501","Welcher Schauspieler ist in Titanic kläglich untergegangen, obwohl er auf die Tür gepasst hätte?","Leonardo di Caprio","Tom Holland","Tom Cruise","Dwayne Jonson","filme","26","0","none","2021-11-21","22:03:31"
"502","Welche Wasserfarbenmarke gibt es nicht?","Schaffhauser Nachrichten","Carand D'Ache","Van Gogh","White Nights","sonstige","39","0","none","2021-11-21","22:06:39"
"503","mathe?","Nein","voll cool","mega krass","extra wyld","cool","24","0","none","2021-11-21","22:06:45"
"504","Wie viel wiegt ein totenkopf?","google selber wenn dus wissen willst","3 kilogramm","locker eine tonne","567.93821 gramm","cool","24","1","none","2021-11-21","22:07:50"
"505","Welcher Tom ist nicht von England?","Tom Cruise","Tom Holland","Tom Hiddleston","Tom Felton","filme","26","0","none","2021-11-21","22:08:29"
"506","Welche Preisstrategie existiert nicht?","Superbilligstrategie","Übervorteilungsstrategie","Premiumsstrategie","Billigstrategie","kultur","26","0","none","2021-11-21","22:11:07"
"507","Wie viele Spieler sind in einer Fussballmannschaft?","11","12","14","9","sport","26","0","none","2021-11-21","22:34:00"
"508","Welchen Handballferein gibt es nicht?","Löwen-König-Schweiz","THW Kiel","Rhein-Neckar-Löwen","Wacker Thun","sport","0","0","none","2021-11-21","22:35:06"
"509","Welchen Sport gibt es nicht?","Jogurtessen","Gaming","Hight heels run","Gummistiefelweitwurf","sport","0","0","none","2021-11-21","22:39:03"
"510","Mit welchem Tier wird reiten betrieben?","Pferd","Nilpferd","Kuh","Kamel","sport","26","0","none","2021-11-21","22:39:05"
"511","Wie lange ist eine Bahn in einem Schwimmbad?","25m","20m","30m","50m","cool","26","1","none","2021-11-21","22:40:02"
"512","Welche Sportart gibt es?","Air Sex","Wasserweitwurf","Run in a circle","plant growing","sport","0","0","none","2021-11-21","22:41:26"
"513","Wie lange ist ein Marathon?","42.195 km","43 km","40 km","35 km","sport","26","0","none","2021-11-21","22:41:33"
"514","Welche Sportart ist Tradition in der Schweiz?","Schwingen","Handball","Waterboarding","Fussball","sport","0","0","none","2021-11-21","22:45:16"
"515","Welche Sportart mit dem Fahrrad gibt es nicht?","Mountain Hill","Cyclocross","Downhill","BMX","sport","26","0","none","2021-11-21","22:46:10"
"516","Welche Sportart ist Tradition in der Schweiz?","Hornussen","Speerwerfen","Kugelstossen","Klettern","sport","0","0","none","2021-11-21","22:46:15"
"517","Welches ist der grösste Knochen im menschlichen Körper?","Oberschenkelknochen","Kieferknochen","Wadenknochen","Speiche","wissenschaft","26","0","none","2021-11-21","22:51:40"
"518","Welches ist das grösste Organ?","Haut","Lunge","Darm","Magen","wissenschaft","26","0","none","2021-11-21","22:52:12"
"519","Ab wann sind Morddrohungen erlaubt?","Ab 8:30","Nie","Immer","Mit vertraglicher Einverständnis","cool","39","0","none","2021-11-22","12:16:38"
"520","wie schüttelt man richtig die Hand?","man bricht zuerst seinen daumen","mit einem lächeln im gesicht","erst in die hand spucken","hä mit dem ellbogen natürlich wir sind hier in einer pandemie","cool","24","0","none","2021-11-22","12:25:58"
"521","Was bedeutet BBQ?","Barbeque","Babe Que","Barbies Quest","Best Bro Qrule","essen","26","0","none","2021-11-22","12:29:12"
"522","Weshalb halten manche Menschen Hunde?","Nahrungsmittel","Morgenesse","Mittagessen","Abendessen ","tiere","30","1","none","2021-11-22","12:30:58"
"523","Wie schnell ist Lichtgeschwindigkeit?","unbestimmt","300'000 km/s","280'000 km/s","320'000 km/s","wissenschaft","30","0","none","2021-11-23","12:23:17"
"524","Wenn ein Baum wächst, wie viele schnecken sind dann im Zug?","Nein","3.4","3","Ja","wissenschaft","0","0","none","2021-11-23","18:21:43"
"525","Wie viele Schriftarten gibt es?","zu viele ","wenig","genug","lange ","dmi_typo","45","0","none","2021-11-24","10:18:16"
"526","Für was steht der Begriff LAN?","Local Area Network","Last attack north","Local Attire Notch","Lending All Networks","ikt_network","45","0","none","2021-11-24","11:59:09"
"528","Was war die grösste Inspiration für Ann Demeulemeester?","Patti Smith","Joy Division","Horacio Pagani","Daughters","kunst","0","0","none","2021-11-24","20:22:41"
"529","Wo hat Horacio Pagani gearbeitet bevor er seine eigene Firma gegründet hat?","Lamborghini ","Ferrari","Fiat","DeTomaso","sonstige","0","0","none","2021-11-24","20:23:45"
"530","Wie viele Vector W8 wurden gebaut? (Ohne Prototypen)?","17","19","2","100","sonstige","0","0","none","2021-11-24","20:24:39"
"531","Wann hat Nas sein erstes Album veröffentlicht?","1994","1998","2001","1987","sonstige","0","1","none","2021-11-24","20:25:17"
"532","Was ist eine Rohbilddatei?","Nicht komprimiertes Bild","Komprimiertes Bild","Ein Programm","Musikrichtung","dmi_typo","39","0","none","2021-11-24","20:58:22"
"533","Wenn man eine Raw-Datei in PSE öffnet, wie nenn sich das offene Fenster?","Camera Raw","Foto Raw","Bild Raw","Picture Raw","dmi_typo","39","0","none","2021-11-24","21:00:34"
"534","Was zeigt ein Histogramm an?","Tonwerte aller Farbkanäle","Tonwerte der schwarz-weiss Farbkanäle","Farbwerte","Rot und Blau masse","dmi_typo","39","0","none","2021-11-24","21:03:26"
"535","Was macht ein Weissabgleich?","Korrektur der Lichttemperatur","Helligkeit anpassen","Farben verändern","Tonwerte anpassen","dmi_typo","39","0","none","2021-11-24","21:07:30"
"536","Was bestimmt der Betrag?","Wie stark der Kontrast erhöht wird von der Schärfe","Wie stark die Farben vertieft werden","Wie die Auflösung eines Bildes ist","Die Hellikeit","dmi_typo","39","0","none","2021-11-24","21:13:09"
"537","Was macht der Radius im Bezug auf den Betrag?","Breite des Konturbereichs, an welchem die Kontrasterhöhung greift","Auflösung des Bildes","Farbramen zur Bestimmung der Farbtiefe","Tiefe der Dunkelheit","dmi_typo","39","0","none","2021-11-24","21:15:56"
"538","Was löst starkes Rauschen aus?","Geringe Helligkeit und hoher ISO-Wert","Tiefe Farbdichte","Hohe Farbdichte","Schnelle Bewegung beim Aufnehmen des Bildes","dmi_typo","39","0","none","2021-11-24","21:20:38"
"539","Was macht niedriger Luminanz-Wert?","Starke Entrauschung der Bilder","Stark rauschende Bilder","Hohe Bildauflödung","Keine Wirkung","dmi_typo","39","0","none","2021-11-24","21:22:39"
"540","Was ist der Nachteil von niegrigem Luminanz-Wert?","Unscharfe Details","Allgemeine Unschärfe","Grosse Pixel","Farbverblassung","dmi_typo","39","0","none","2021-11-24","21:23:58"
"541","Was ist ein Vortei eined Grafiktabletts?","Direkte Digitalisierung","Hilfe beim malen","Keine Akkuprobleme","Ist billiger","dmi_typo","39","0","none","2021-11-24","21:27:57"
"542","Was ist ein Grafiktablett?","Ein Gerät um darauf zu malen","Eine Fläche um Sachem zu servieren","Ein Hut","Etwas Unnötiges","dmi_typo","39","0","none","2021-11-24","21:29:36"
"543","Was generiert ein Formwerkzeug?","Vektorobjekte","Pixelobjekte","Ein Textfeld","Jogurt","dmi_typo","39","0","none","2021-11-24","21:31:44"
"544","Was ist speziell an Vektorobjekten?","Verlustfreie Skalierung","Kleine Formen möglich","Bessere Farbauflösung","Langsamerer Stromverbrauch","dmi_typo","39","0","none","2021-11-24","21:33:02"
"545","Was ist nicht mit den Werkzeugoptionen möglich?","Ein Textfeld krumm machen","Feste Grösse bei einem Rechteck festlegen","Einen Kreis machen","Linie mit Pfeilspitzen einfügen","dmi_typo","39","0","none","2021-11-24","21:35:10"
"546","Mit welcher Taste kann man beim Buntstift eine gerade Linie zeichnen?","Shift","Ctrl","Alt","Ctrl + Alt","dmi_typo","39","0","none","2021-11-24","21:40:42"
"547","Welchen dieser Einflüsse gibt es nicht auf unsere Farbwahrnehmung?","Gedankliche Grundlagen","Biologische Grundlagen","Kulturelle Grundlagen","Individuelle Grundlagen","dmi_typo","45","0","none","2021-11-26","15:59:50"
"548","Welche dieser Farben nehmen wir am intensivsten auf?","Rot","Blau","Gelb","Grün","dmi_typo","45","0","none","2021-11-26","16:00:51"
"549","Von welcher dieser Eigenschaften ist die Farbdarstellung eines Monitors nicht abhängig?","Beliebtheit des Herstellers","Farbkalibrierung","Computer und Betriebssystem","Farbraum welcher der Computer kann","dmi_typo","45","0","none","2021-11-26","16:02:46"
"550","Wie viele Farben sind mit dem RGB Farbraum möglich?","ca. 16.77 Millionen","ca. 19.50 Millionen","ca. 10.60 Millionen","ca 30.56 Millionen","dmi_typo","45","0","none","2021-11-26","16:03:56"
"551","Welcher Farbraum ist am grössten?","Adobe RGB","sRGB","CMYK","HSB","dmi_typo","45","0","none","2021-11-26","16:06:23"
"552","Wenn würdest du eher fett Boxen?","Janis","Finn","Maxim","Bianca","wwde","45","0","none","2021-11-27","14:35:39"
"553","Wer hat alle Afrika Fragen gestellt?","der Namenlose","David Ruh","Neslon Mandela","unbenannt","cool","30","0","none","2021-11-29","12:31:36"
"554","Welches ist der beste Laptop in MED21/25?","HP Elitebook","Lenovo ThinkPad ","Lenovo Yoga ","Microsoft","cool","39","1","none","2021-11-29","12:42:51"
"555","What does she ...?","Düüü","do","eat","have","cool","0","1","none","2021-11-30","13:23:08"
"556","Was muss man tun, dass etwas funktioniert?","Es aktivieren","Nichts","alles","kommt drauf an","cool","22","0","none","2021-11-30","13:42:32"
"557","Welche deutsche Serie gibt es nicht?","Mein Haus, dein Haus","Bauer ledig sucht","Frauentausch","Schwiegertochter gesucht","filme","26","0","none","2021-11-30","13:47:26"
"558","was ist David?","Darvida","eins David","Davide","Davad","cool","26","0","none","2021-11-30","14:04:54"
"559","Wer ist eigentlich Maximator?","Maxim","Quuli.ch","Bianca","Natalie","cool","30","0","none","2021-11-30","14:52:19"
"560","Weshalb ist Garigliano unser Lieblingslehrer?","Garigliano","Er gibt Deutsch","Er hasst uns NOCH nicht","Er gibt uns Deutsch geschichte","cool","30","0","none","2021-11-30","14:54:25"
"561","Wann macht es sinn die Laufweite zu verkleinern?","Bei grossen Schriften","Bei kleinen Schriften","Bei Serifen Schriften","Bei Fantasy Schriften","mig_photo","0","0","none","2021-11-30","16:12:35"
"562","Wie heisst eigentlich das Thema?","Typografie","Memographie","Medien","Logos","mig_photo","0","0","none","2021-11-30","16:13:49"
"563","Bis wann waren gebrochene Schriften üblich?","1941","1973","1950","1921","mig_photo","0","0","none","2021-12-01","10:47:14"
"564","Was sind Versalien?","Grossbuchstaben","Kleinbuchstaben","Zahlen","Schräge Buchstaben","mig_photo","0","0","none","2021-12-01","10:48:53"
"565","Welchen dieser Schriftstile gibt es nicht?","Rounded","Italics","Bold","Thin","mig_photo","0","0","none","2021-12-01","10:50:26"
"566","Welches dieser Formate ist keine Outline Schriftformat?","Fon","OpenType","TrueType","PostScript","mig_photo","0","0","none","2021-12-01","10:53:08"
"567","Welche dieser Schriften ist aus unserer sicht nicht fremd?","Latein","Chinesisch","Hebräisch","Arabisch","mig_photo","0","0","none","2021-12-01","11:27:28"
"568","Womit beschäftigt sich das Screendesign?","Präsentation von inhalten auf Monitoren","Der Bauweise von Monitoren","Der Farbtechnik von Bildschirmen","Dem Layout von Zeitungen","mig_photo","0","0","none","2021-12-01","11:30:16"
"569","Wer ist kein Sportler?","Marcel Eri","Marcel Sabitzer","Marcel Halstenberg","Marcel Schmelzer","sport","48","1","none","2021-12-01","20:14:05"
"570","Wer ist kein Sportler?","Marcel Eris","Marcel Schmelzer","Marcel Sabitzer","Marcel Halstenberg","sport","48","0","none","2021-12-01","20:14:51"
"571","Wie hoch ist der Mount Everest?","8848m","7874m","10'230m","6646m","geographie","26","0","none","2021-12-03","08:30:00"
"572","Auf welchem Kontinent liegt Kanada?","Nordamerika","Südamerika","Afrika","Europa","geographie","26","0","none","2021-12-03","08:30:41"
"573","Was ist speziell an einem Anglerfisch?","Er hat eine Laterne am Kopf","Er wird weiss wenn er stirbt","Er wird bis zu 13 Meter lang","Es gibt nur Männchen","tiere","26","0","none","2021-12-03","08:33:34"
"574","Was ist speziell an Seepferdchen?","Der Vater trägt die Babys aus","Man kann sie reiten","Sie können wie ein Chamäleon die Farbe ändern","Sie können aus dem Wasser springen","tiere","26","0","none","2021-12-03","08:35:21"
"575","Was ist das grösste, das ein Blauwal verschlingen kann?","Grapefruit","Mensch","Erbse","Auto","tiere","26","0","none","2021-12-03","08:43:37"
"576","Welches der Metalle ist bei Raumtemperatur flüssig?","Quecksilber","Gold","Aluminium","Titan","wissenschaft","26","0","none","2021-12-03","08:51:24"
"577","Was ist kleiner als ein Atom?","Elektronen, Protonen und Neutronen","Bakterien","Pixel","Menschliche Zelle","wissenschaft","26","0","none","2021-12-03","08:58:07"
"578","Wie lange würde eine Zugfahrt zum Mond dauern?","16 Tage","3 Monate","48 Stunden","1 Jahr","wissenschaft","26","0","none","2021-12-03","09:01:11"
"579","Was liegt auf der Oberfläche des Mondes?","Gesteinspulver","Beton","Staub","Schnee","wissenschaft","26","0","none","2021-12-03","09:03:21"
